,movie_title,title_year,actor_1_name,actor_2_name,actor_3_name,director_name,title_year
975,The Game ,1997.0,Deborah Kara Unger,Armin Mueller-Stahl,Charles Martinet,David Fincher,1997.0
976,Silent Hill ,2006.0,Radha Mitchell,Deborah Kara Unger,Alice Krige,Christophe Gans,2006.0
977,The Replacements ,2000.0,Keanu Reeves,Jon Favreau,Faizon Love,Howard Deutch,2000.0
978,American Reunion ,2012.0,Alyson Hannigan,Dania Ramirez,Natasha Lyonne,Jon Hurwitz,2012.0
979,The Negotiator ,1998.0,Kevin Spacey,Michael Cudlitz,Siobhan Fallon Hogan,F. Gary Gray,1998.0
980,Into the Storm ,2014.0,Matt Walsh,Alycia Debnam-Carey,Scott Lawrence,Steven Quale,2014.0
981,Beverly Hills Cop III ,1994.0,Louis Lombardi,Jon Tenney,Gilbert R. Hill,John Landis,1994.0
982,Gremlins 2: The New Batch ,1990.0,Christopher Lee,Robert Picardo,Phoebe Cates,Joe Dante,1990.0
983,The Judge ,2014.0,Robert Downey Jr.,Robert Duvall,Leighton Meester,David Dobkin,2014.0
984,The Peacemaker ,1997.0,Armin Mueller-Stahl,Holt McCallany,Marcel Iures,Mimi Leder,1997.0
985,Resident Evil: Apocalypse ,2004.0,Milla Jovovich,Thomas Kretschmann,Mike Epps,Alexander Witt,2004.0
986,Bridget Jones: The Edge of Reason ,2004.0,Colin Firth,Jim Broadbent,Celia Imrie,Beeban Kidron,2004.0
987,Out of Time ,2003.0,Denzel Washington,Sanaa Lathan,John Billingsley,Carl Franklin,2003.0
988,On Deadly Ground ,1994.0,Mike Starr,Joan Chen,Sven-Ole Thorsen,Steven Seagal,1994.0
989,The Adventures of Sharkboy and Lavagirl 3-D ,2005.0,Taylor Lautner,Kristin Davis,Taylor Dooley,Robert Rodriguez,2005.0
990,The Beach ,2000.0,Leonardo DiCaprio,Virginie Ledoyen,Peter Youngblood Hills,Danny Boyle,2000.0
991,Raising Helen ,2004.0,Amber Valletta,Felicity Huffman,Spencer Breslin,Garry Marshall,2004.0
992,Ninja Assassin ,2009.0,Shô Kosugi,Ben Miles,Rain,James McTeigue,2009.0
993,For Love of the Game ,1999.0,J.K. Simmons,Kelly Preston,Carmine Giovinazzo,Sam Raimi,1999.0
994,A Touch of Frost             ,,David Jason,Bruce Alexander,John Lyons,,
995,Striptease ,1996.0,Demi Moore,Rumer Willis,Paul Guilfoyle,Andrew Bergman,1996.0
996,Marmaduke ,2010.0,Emma Stone,Judy Greer,Steve Coogan,Tom Dey,2010.0
997,Hereafter ,2010.0,Matt Damon,Jay Mohr,Cécile De France,Clint Eastwood,2010.0
999,Assassins ,1995.0,Muse Watson,Sylvester Stallone,Kelly Rowan,Richard Donner,1995.0
1000,Hannibal Rising ,2007.0,Li Gong,Stephen Walters,Richard Brake,Peter Webber,2007.0
1001,The Story of Us ,1999.0,Bruce Willis,Tim Matheson,Rita Wilson,Rob Reiner,1999.0
1002,The Host ,2013.0,J.D. Evermore,Chandler Canterbury,Rachel Roberts,Andrew Niccol,2013.0
1003,Basic ,2003.0,Connie Nielsen,Harry Connick Jr.,Tim Daly,John McTiernan,2003.0
1004,Blood Work ,2002.0,Clint Eastwood,Anjelica Huston,Rick Hoffman,Clint Eastwood,2002.0
1005,The International ,2009.0,Naomi Watts,Brían F. O'Byrne,Armin Mueller-Stahl,Tom Tykwer,2009.0
1006,Escape from L.A. ,1996.0,Steve Buscemi,Valeria Golino,Michelle Forbes,John Carpenter,1996.0
1007,Twisted             ,,Grey Damon,Brittany Curran,Aaron Hill,,
1008,The Iron Giant ,1999.0,Vin Diesel,Harry Connick Jr.,M. Emmet Walsh,Brad Bird,1999.0
1009,The Life Aquatic with Steve Zissou ,2004.0,Bill Murray,Anjelica Huston,Matthew Gray Gubler,Wes Anderson,2004.0
1010,Free State of Jones ,2016.0,Matthew McConaughey,Donald Watkins,Jessica Collins,Gary Ross,2016.0
1011,The Life of David Gale ,2003.0,Kevin Spacey,Kate Winslet,Matt Craven,Alan Parker,2003.0
1012,Man of the House ,2005.0,Christina Milian,Vanessa Ferlito,Kelli Garner,Stephen Herek,2005.0
1013,Run All Night ,2015.0,Liam Neeson,Common,Bruce McGill,Jaume Collet-Serra,2015.0
1014,Eastern Promises ,2007.0,Viggo Mortensen,Naomi Watts,Raza Jaffrey,David Cronenberg,2007.0
1015,Into the Blue ,2005.0,Paul Walker,James Frain,Ashley Scott,John Stockwell,2005.0
1016,The Messenger: The Story of Joan of Arc ,1999.0,Paul Brooke,David Bailie,Rab Affleck,Luc Besson,1999.0
1017,Your Highness ,2011.0,Natalie Portman,Zooey Deschanel,James Franco,David Gordon Green,2011.0
1018,Dream House ,2011.0,Naomi Watts,Gregory Smith,Sarah Gadon,Jim Sheridan,2011.0
1019,Mad City ,1997.0,Mia Kirshner,Blythe Danner,William Atherton,Costa-Gavras,1997.0
1020,Baby's Day Out ,1994.0,Joe Mantegna,Lara Flynn Boyle,Cynthia Nixon,Patrick Read Johnson,1994.0
1021,The Scarlet Letter ,1995.0,Gary Oldman,Robert Duvall,Demi Moore,Roland Joffé,1995.0
1022,Fair Game ,2010.0,Naomi Watts,Ty Burrell,Brooke Smith,Doug Liman,2010.0
1023,Defiance             ,,Julie Benz,Tony Curran,Grant Bowler,,
1024,Domino ,2005.0,Ian Ziering,Mo'Nique,Edgar Ramírez,Tony Scott,2005.0
1025,Jade ,1995.0,Michael Biehn,Chazz Palminteri,Linda Fiorentino,William Friedkin,1995.0
1026,Gamer ,2009.0,Gerard Butler,Logan Lerman,Alison Lohman,Mark Neveldine,2009.0
1027,Beautiful Creatures ,2013.0,Alden Ehrenreich,Zoey Deutch,Pruitt Taylor Vince,Richard LaGravenese,2013.0
1028,Death to Smoochy ,2002.0,Robin Williams,Vincent Schiavelli,Danny Woodburn,Danny DeVito,2002.0
1029,Zoolander 2 ,2016.0,Milla Jovovich,Will Ferrell,Justin Theroux,Ben Stiller,2016.0
1030,The Big Bounce ,2004.0,Morgan Freeman,Andrew Wilson,Willie Nelson,George Armitage,2004.0
1031,What Planet Are You From? ,2000.0,Judy Greer,Linda Fiorentino,Garry Shandling,Mike Nichols,2000.0
1032,Drive Angry ,2011.0,Nicolas Cage,Billy Burke,Katy Mixon,Patrick Lussier,2011.0
1033,Street Fighter: The Legend of Chun-Li ,2009.0,Chris Klein,Robin Shou,Josie Ho,Andrzej Bartkowiak,2009.0
1034,The One ,2001.0,Jason Statham,Jet Li,Delroy Lindo,James Wong,2001.0
1035,Outlander             ,,Tobias Menzies,Graham McTavish,Stephen Walters,,
1036,The Adventures of Ford Fairlane ,1990.0,Lauren Holly,Gilbert Gottfried,David Patrick Kelly,Renny Harlin,1990.0
1037,Pirate Radio ,2009.0,Philip Seymour Hoffman,Charlie Rowe,Tom Sturridge,Richard Curtis,2009.0
1038,Traffic ,2000.0,Michael O'Neill,Jacob Vargas,James Lew,Steven Soderbergh,2000.0
1039,Indiana Jones and the Last Crusade ,1989.0,Harrison Ford,Julian Glover,Alison Doody,Steven Spielberg,1989.0
1040,Anna Karenina ,2012.0,Kelly Macdonald,Guro Nagelhus Schia,Matthew Macfadyen,Joe Wright,2012.0
1041,Chappie ,2015.0,Hugh Jackman,Sharlto Copley,Jose Pablo Cantillo,Neill Blomkamp,2015.0
1042,The Bone Collector ,1999.0,Denzel Washington,Angelina Jolie Pitt,Leland Orser,Phillip Noyce,1999.0
1043,Panic Room ,2002.0,Kristen Stewart,Dwight Yoakam,Mel Rodriguez,David Fincher,2002.0
1044,The Tooth Fairy ,2006.0,P.J. Soles,Lochlyn Munro,Steve Bacic,Chuck Bowman,2006.0
1045,Three Kings ,1999.0,Judy Greer,Jamie Kennedy,Mykelti Williamson,David O. Russell,1999.0
1046,Child 44 ,2015.0,Tom Hardy,Fares Fares,Michael Nardone,Daniel Espinosa,2015.0
1047,Rat Race ,2001.0,Corinna Harney,Douglas Haase,Vince Vieluf,Jerry Zucker,2001.0
1048,K-PAX ,2001.0,Kevin Spacey,Jeff Bridges,Alfre Woodard,Iain Softley,2001.0
1049,Kate & Leopold ,2001.0,Hugh Jackman,Natasha Lyonne,Bradley Whitford,James Mangold,2001.0
1050,Bedazzled ,2000.0,Brendan Fraser,Frances O'Connor,Brian Doyle-Murray,Harold Ramis,2000.0
1051,The Cotton Club ,1984.0,Nicolas Cage,Bob Hoskins,Fred Gwynne,Francis Ford Coppola,1984.0
1052,3:10 to Yuma ,2007.0,Christian Bale,Logan Lerman,Gretchen Mol,James Mangold,2007.0
1053,Taken 3 ,2014.0,Liam Neeson,Dougray Scott,Jon Gries,Olivier Megaton,2014.0
1054,Out of Sight ,1998.0,Don Cheadle,Albert Brooks,Keith Hudson,Steven Soderbergh,1998.0
1055,The Cable Guy ,1996.0,Matthew Broderick,Janeane Garofalo,Andy Dick,Ben Stiller,1996.0
1056,Earth ,1998.0,Nandita Das,Gulshan Grover,Eric Peterson,Deepa Mehta,1998.0
1057,Dick Tracy ,1990.0,Charlie Korsmo,Warren Beatty,Seymour Cassel,Warren Beatty,1990.0
1058,The Thomas Crown Affair ,1999.0,Mark Margolis,Faye Dunaway,Denis Leary,John McTiernan,1999.0
1059,Riding in Cars with Boys ,2001.0,Rosie Perez,Adam Garcia,Alissa Dean,Penny Marshall,2001.0
1061,Solaris ,1972.0,Donatas Banionis,Anatoliy Solonitsyn,Natalya Bondarchuk,Andrei Tarkovsky,1972.0
1062,Happily N'Ever After ,2006.0,Sarah Michelle Gellar,George Carlin,Rob Paulsen,Paul Bolger,2006.0
1063,Mary Reilly ,1996.0,Julia Roberts,Bronagh Gallagher,George Cole,Stephen Frears,1996.0
1064,My Best Friend's Wedding ,1997.0,Julia Roberts,Christopher Masterson,Rupert Everett,P.J. Hogan,1997.0
1065,America's Sweethearts ,2001.0,Julia Roberts,Rainn Wilson,Larry King,Joe Roth,2001.0
1066,Insomnia ,2002.0,Al Pacino,Maura Tierney,Crystal Lowe,Christopher Nolan,2002.0
1067,Star Trek: First Contact ,1996.0,LeVar Burton,Alfre Woodard,Jonathan Frakes,Jonathan Frakes,1996.0
1068,Jonah Hex ,2010.0,Michael Fassbender,Billy Blair,Julia Jones,Jimmy Hayward,2010.0
1069,Courage Under Fire ,1996.0,Denzel Washington,Matt Damon,Scott Glenn,Edward Zwick,1996.0
1070,Liar Liar ,1997.0,Maura Tierney,Swoosie Kurtz,Randall 'Tex' Cobb,Tom Shadyac,1997.0
1071,The Infiltrator ,2016.0,Joseph Gilgun,Amy Ryan,Olympia Dukakis,Brad Furman,2016.0
1072,Inchon ,1981.0,Laurence Olivier,Ben Gazzara,Jacqueline Bisset,Terence Young,1981.0
1073,The Flintstones ,1994.0,Jonathan Winters,Elizabeth Perkins,Harvey Korman,Brian Levant,1994.0
1074,Taken 2 ,2012.0,Liam Neeson,Luke Grimes,D.B. Sweeney,Olivier Megaton,2012.0
1075,Scary Movie 3 ,2003.0,Regina Hall,Pamela Anderson,Jenny McCarthy,David Zucker,2003.0
1076,Miss Congeniality ,2000.0,Candice Bergen,Wendy Raquel Robinson,Heather Burns,Donald Petrie,2000.0
1077,Journey to the Center of the Earth ,2008.0,Josh Hutcherson,Brendan Fraser,Anita Briem,Eric Brevig,2008.0
1078,The Princess Diaries 2: Royal Engagement ,2004.0,Anne Hathaway,Raven-Symoné,Hector Elizondo,Garry Marshall,2004.0
1079,The Pelican Brief ,1993.0,Denzel Washington,Julia Roberts,Tony Goldwyn,Alan J. Pakula,1993.0
1080,The Client ,1994.0,Bradley Whitford,Anthony LaPaglia,Brad Renfro,Joel Schumacher,1994.0
1081,The Bucket List ,2007.0,Morgan Freeman,Noel Gugliemi,Sean Hayes,Rob Reiner,2007.0
1082,Patriot Games ,1992.0,Harrison Ford,Polly Walker,Patrick Bergin,Phillip Noyce,1992.0
1083,Monster-in-Law ,2005.0,Adam Scott,Jane Fonda,Elaine Stritch,Robert Luketic,2005.0
1084,Prisoners ,2013.0,Hugh Jackman,Jake Gyllenhaal,Dylan Minnette,Denis Villeneuve,2013.0
1085,Training Day ,2001.0,Denzel Washington,Snoop Dogg,Tom Berenger,Antoine Fuqua,2001.0
1086,Galaxy Quest ,1999.0,Alan Rickman,Enrico Colantoni,Robin Sachs,Dean Parisot,1999.0
1087,Scary Movie 2 ,2001.0,Natasha Lyonne,Veronica Cartwright,Andy Richter,Keenen Ivory Wayans,2001.0
1088,The Muppets ,2011.0,Bill Cobbs,Eric Jacobson,Steve Whitmire,James Bobin,2011.0
1089,Blade ,1998.0,Sanaa Lathan,Traci Lords,Udo Kier,Stephen Norrington,1998.0
1090,Coach Carter ,2005.0,Channing Tatum,Rick Gonzalez,Robert Ri'chard,Thomas Carter,2005.0
1091,Changing Lanes ,2002.0,Sydney Pollack,Matt Malloy,Bruce Altman,Roger Michell,2002.0
1092,Anaconda ,1997.0,Frank Welker,Eric Stoltz,Kari Wuhrer,Luis Llosa,1997.0
1093,Coyote Ugly ,2000.0,Adam Garcia,Tyra Banks,Izabella Miko,David McNally,2000.0
1094,Love Actually ,2003.0,Colin Firth,Liam Neeson,Kris Marshall,Richard Curtis,2003.0
1095,A Bug's Life ,1998.0,Kevin Spacey,Madeline Kahn,John Ratzenberger,John Lasseter,1998.0
1096,From Hell ,2001.0,Johnny Depp,Jason Flemyng,Ian Richardson,Albert Hughes,2001.0
1097,The Specialist ,1994.0,Sylvester Stallone,Rod Steiger,Emilio Estefan Jr.,Luis Llosa,1994.0
1098,Tin Cup ,1996.0,Don Johnson,Cheech Marin,Rene Russo,Ron Shelton,1996.0
1099,"Yours, Mine and Ours ",1968.0,Lucille Ball,Tom Bosley,Tim Matheson,Melville Shavelson,1968.0
1100,Kicking & Screaming ,2005.0,Josh Hutcherson,Will Ferrell,Robert Duvall,Jesse Dylan,2005.0
1101,The Hitchhiker's Guide to the Galaxy ,2005.0,Zooey Deschanel,Kelly Macdonald,Thomas Lennon,Garth Jennings,2005.0
1102,Fat Albert ,2004.0,Dania Ramirez,Nick Zano,Alice Greczyn,Joel Zwick,2004.0
1103,Resident Evil: Extinction ,2007.0,Milla Jovovich,Mike Epps,James Tumminia,Russell Mulcahy,2007.0
1104,Blended ,2014.0,Bella Thorne,Adam Sandler,Joel McHale,Frank Coraci,2014.0
1105,Last Holiday ,2006.0,LL Cool J,Alicia Witt,Timothy Hutton,Wayne Wang,2006.0
1106,The River Wild ,1994.0,Meryl Streep,Glenn Morshower,William Lucking,Curtis Hanson,1994.0
1107,The Indian in the Cupboard ,1995.0,Steve Coogan,Vincent Kartheiser,David Keith,Frank Oz,1995.0
1108,Savages ,2012.0,Demián Bichir,Shea Whigham,Gary Stretch,Oliver Stone,2012.0
1109,Cellular ,2004.0,Richard Burgi,Valerie Cruz,Will Beinbrink,David R. Ellis,2004.0
1110,Johnny English ,2003.0,Kevin McNally,Natalie Imbruglia,Ben Miller,Peter Howitt,2003.0
1111,The Ant Bully ,2006.0,Nicolas Cage,Meryl Streep,Julia Roberts,John A. Davis,2006.0
1112,Dune ,1984.0,Virginia Madsen,Jürgen Prochnow,José Ferrer,David Lynch,1984.0
1114,Revolutionary Road ,2008.0,Leonardo DiCaprio,Kate Winslet,Joe Komara,Sam Mendes,2008.0
1115,16 Blocks ,2006.0,Bruce Willis,David Zayas,Sasha Roiz,Richard Donner,2006.0
1116,Babylon A.D. ,2008.0,Vin Diesel,Charlotte Rampling,David Belle,Mathieu Kassovitz,2008.0
1117,The Glimmer Man ,1996.0,Alexa PenaVega,Bob Gunton,Keenen Ivory Wayans,John Gray,1996.0
1118,Multiplicity ,1996.0,John de Lancie,Brian Doyle-Murray,Obba Babatundé,Harold Ramis,1996.0
1119,Aliens in the Attic ,2009.0,Malese Jow,Carter Jenkins,Tim Meadows,John Schultz,2009.0
1120,The Pledge ,2001.0,Costas Mandylor,Adrien Dorval,Nels Lennarson,Sean Penn,2001.0
1121,The Producers ,2005.0,Jon Lovitz,Will Ferrell,Matthew Broderick,Susan Stroman,2005.0
1122,Dredd ,2012.0,Wood Harris,Jason Cope,Rakie Ayola,Pete Travis,2012.0
1123,The Phantom ,1996.0,Cary-Hiroyuki Tagawa,Treat Williams,Kristy Swanson,Simon Wincer,1996.0
1124,All the Pretty Horses ,2000.0,Matt Damon,Henry Thomas,Sam Shepard,Billy Bob Thornton,2000.0
1125,Nixon ,1995.0,Anthony Hopkins,Bob Hoskins,Joan Allen,Oliver Stone,1995.0
1126,The Ghost Writer ,2010.0,Jim Belushi,Olivia Williams,Timothy Hutton,Roman Polanski,2010.0
1127,Deep Rising ,1998.0,Djimon Hounsou,Jason Flemyng,Wes Studi,Stephen Sommers,1998.0
1128,Miracle at St. Anna ,2008.0,Joseph Gordon-Levitt,Omari Hardwick,Laz Alonso,Spike Lee,2008.0
1129,Curse of the Golden Flower ,2006.0,Li Gong,Ye Liu,Man Li,Yimou Zhang,2006.0
1130,Bangkok Dangerous ,2008.0,Nicolas Cage,Charlie Yeung,James With,Danny Pang,2008.0
1131,Big Trouble ,2002.0,Zooey Deschanel,Janeane Garofalo,Omar Epps,Barry Sonnenfeld,2002.0
1132,Love in the Time of Cholera ,2007.0,Marcela Mar,Giovanna Mezzogiorno,Unax Ugalde,Mike Newell,2007.0
1133,The Returned             ,,Pierre Perrier,Clotilde Hesme,Céline Sallette,,
1134,Shadow Conspiracy ,1997.0,Sam Waterston,Ben Gazzara,Nicholas Turturro,George P. Cosmatos,1997.0
1135,Johnny English Reborn ,2011.0,Daniel Kaluuya,Tim McInnerny,Togo Igawa,Oliver Parker,2011.0
1136,Foodfight! ,2012.0,Jerry Stiller,Larry Miller,Harvey Fierstein,Lawrence Kasanoff,2012.0
1137,Argo ,2012.0,Clea DuVall,Scoot McNairy,Tate Donovan,Ben Affleck,2012.0
1138,The Fugitive ,1993.0,Harrison Ford,Daniel Roebuck,Sela Ward,Andrew Davis,1993.0
1139,The Bounty Hunter ,2010.0,Gerard Butler,Dorian Missick,Peter Greene,Andy Tennant,2010.0
1140,Sleepers ,1996.0,Robert De Niro,Brad Pitt,Minnie Driver,Barry Levinson,1996.0
1141,Rambo: First Blood Part II ,1985.0,Sylvester Stallone,Julia Nickson,Martin Kove,George P. Cosmatos,1985.0
1142,The Juror ,1996.0,Joseph Gordon-Levitt,Demi Moore,Anne Heche,Brian Gibson,1996.0
1143,Pinocchio ,1940.0,Mel Blanc,Dickie Jones,Cliff Edwards,Norman Ferguson,1940.0
1144,Heaven's Gate ,1980.0,Jeff Bridges,Sam Waterston,Isabelle Huppert,Michael Cimino,1980.0
1145,Underworld: Evolution ,2006.0,Sophia Myles,Tony Curran,Derek Jacobi,Len Wiseman,2006.0
1147,Finding Forrester ,2000.0,F. Murray Abraham,Rob Brown,Michael Nouri,Gus Van Sant,2000.0
1148,28 Days ,2000.0,Steve Buscemi,Viggo Mortensen,Elizabeth Perkins,Betty Thomas,2000.0
1149,Unleashed ,2005.0,Morgan Freeman,Jet Li,Bob Hoskins,Louis Leterrier,2005.0
1150,The Sweetest Thing ,2002.0,Judith Chapman,Lillian Adams,Chelsea Bond,Roger Kumble,2002.0
1151,The Firm ,1993.0,Tom Cruise,Holly Hunter,Wilford Brimley,Sydney Pollack,1993.0
1152,Charlie St. Cloud ,2010.0,Augustus Prew,Charlie Tahan,Valerie Tian,Burr Steers,2010.0
1153,The Mechanic ,2011.0,Jason Statham,Tony Goldwyn,Mini Anden,Simon West,2011.0
1154,21 Jump Street ,2012.0,Channing Tatum,Dax Flame,Rob Riggle,Phil Lord,2012.0
1155,Notting Hill ,1999.0,Julia Roberts,Clarke Peters,Dylan Moran,Roger Michell,1999.0
1156,Chicken Run ,2000.0,Imelda Staunton,Miranda Richardson,Julia Sawalha,Peter Lord,2000.0
1157,Along Came Polly ,2004.0,Philip Seymour Hoffman,Masi Oka,Debra Messing,John Hamburg,2004.0
1158,Boomerang ,1992.0,John Witherspoon,Eartha Kitt,Geoffrey Holder,Reginald Hudlin,1992.0
1159,The Heat ,2013.0,Michael Rapaport,William Xifaras,Demián Bichir,Paul Feig,2013.0
1160,Cleopatra ,1963.0,Martin Landau,Richard Burton,Roddy McDowall,Joseph L. Mankiewicz,1963.0
1161,Here Comes the Boom ,2012.0,Salma Hayek,Reggie Lee,Charice,Frank Coraci,2012.0
1162,High Crimes ,2002.0,Morgan Freeman,Adam Scott,Bruce Davison,Carl Franklin,2002.0
1163,The Mirror Has Two Faces ,1996.0,Jeff Bridges,Austin Pendleton,Mimi Rogers,Barbra Streisand,1996.0
1164,The Mothman Prophecies ,2002.0,Debra Messing,Will Patton,David Eigenberg,Mark Pellington,2002.0
1165,Brüno ,2009.0,Bono,Elton John,Slash,Larry Charles,2009.0
1166,Licence to Kill ,1989.0,Robert Davi,Talisa Soto,Anthony Zerbe,John Glen,1989.0
1167,Red Riding Hood ,2011.0,Gary Oldman,Billy Burke,Virginia Madsen,Catherine Hardwicke,2011.0
1168,15 Minutes ,2001.0,Robert De Niro,Charlize Theron,Kelsey Grammer,John Herzfeld,2001.0
1169,Super Mario Bros. ,1993.0,Bob Hoskins,Fisher Stevens,Fiona Shaw,Annabel Jankel,1993.0
1170,Lord of War ,2005.0,Nicolas Cage,Jeremy Crutchley,Jared Burke,Andrew Niccol,2005.0
1171,Hero ,2002.0,Jet Li,Tony Chiu Wai Leung,Maggie Cheung,Yimou Zhang,2002.0
1172,One for the Money ,2012.0,Fisher Stevens,Debbie Reynolds,Patrick Fischler,Julie Anne Robinson,2012.0
1173,The Interview ,2014.0,James Franco,Randall Park,Anders Holm,Evan Goldberg,2014.0
1174,The Warrior's Way ,2010.0,Tony Cox,Dong-gun Jang,Jed Brophy,Sngmoo Lee,2010.0
1175,McHale's Navy             ,,Tim Conway,Gavin MacLeod,Bob Hastings,,
1176,Micmacs ,2009.0,Omar Sy,Dany Boon,André Dussollier,Jean-Pierre Jeunet,2009.0
1177,8 Mile ,2002.0,Mekhi Phifer,Omar Benson Miller,Evan Jones,Curtis Hanson,2002.0
1178,Animal Kingdom: Let's go Ape ,2015.0,Jamel Debbouze,Youssef Hajdi,Mélissa Theuriau,Jamel Debbouze,2015.0
1179,A Knight's Tale ,2001.0,Heath Ledger,Rufus Sewell,Bérénice Bejo,Brian Helgeland,2001.0
1180,The Medallion ,2003.0,Julian Sands,Lee Evans,Anthony Chau-Sang Wong,Gordon Chan,2003.0
1181,The Sixth Sense ,1999.0,Bruce Willis,Haley Joel Osment,Olivia Williams,M. Night Shyamalan,1999.0
1182,Man on a Ledge ,2012.0,Robert Clohessy,Mandy Gonzalez,J. Smith-Cameron,Asger Leth,2012.0
1183,The Big Year ,2011.0,Joel McHale,Kevin Pollak,JoBeth Williams,David Frankel,2011.0
1185,American Hustle ,2013.0,Jennifer Lawrence,Christian Bale,Bradley Cooper,David O. Russell,2013.0
1186,The Proposal ,2009.0,Ryan Reynolds,Denis O'Hare,Craig T. Nelson,Anne Fletcher,2009.0
1187,Double Jeopardy ,1999.0,Bruce Greenwood,Annabeth Gish,Bruce Campbell,Bruce Beresford,1999.0
1188,Back to the Future Part II ,1989.0,Lea Thompson,Jeffrey Weissman,Thomas F. Wilson,Robert Zemeckis,1989.0
1189,Lucy ,2014.0,Scarlett Johansson,Morgan Freeman,Amr Waked,Luc Besson,2014.0
1190,Fifty Shades of Grey ,2015.0,Jennifer Ehle,Luke Grimes,Callum Rennie,Sam Taylor-Johnson,2015.0
1191,Spy Kids 3-D: Game Over ,2003.0,Sylvester Stallone,Salma Hayek,Alexa PenaVega,Robert Rodriguez,2003.0
1192,A Time to Kill ,1996.0,Kevin Spacey,Matthew McConaughey,Oliver Platt,Joel Schumacher,1996.0
1193,Cheaper by the Dozen ,2003.0,Tom Welling,Alyson Stoner,Bonnie Hunt,Shawn Levy,2003.0
1194,Lone Survivor ,2013.0,Jerry Ferrara,Scott Elrod,Dan Bilzerian,Peter Berg,2013.0
1195,A League of Their Own ,1992.0,Tom Hanks,Lori Petty,Rosie O'Donnell,Penny Marshall,1992.0
1196,The Conjuring 2 ,2016.0,Javier Botet,Frances O'Connor,Robin Atkin Downes,James Wan,2016.0
1197,The Social Network ,2010.0,Andrew Garfield,Dustin Fitzsimons,Marcella Lentz-Pope,David Fincher,2010.0
1198,He's Just Not That Into You ,2009.0,Carmen Perez,Sabrina Revelle,Sachiko Ishida,Ken Kwapis,2009.0
1199,Scary Movie 4 ,2006.0,Beau Mirchoff,Carmen Electra,Regina Hall,David Zucker,2006.0
1200,Scream 3 ,2000.0,Kelly Rutherford,Roger Jackson,Nancy O'Dell,Wes Craven,2000.0
1201,Back to the Future Part III ,1990.0,Lea Thompson,Jeffrey Weissman,Thomas F. Wilson,Robert Zemeckis,1990.0
1202,Get Hard ,2015.0,Will Ferrell,Alison Brie,Craig T. Nelson,Etan Cohen,2015.0
1203,Bram Stoker's Dracula ,1992.0,Keanu Reeves,Anthony Hopkins,Gary Oldman,Francis Ford Coppola,1992.0
1204,Julie & Julia ,2009.0,Meryl Streep,Mary Lynn Rajskub,Vanessa Ferlito,Nora Ephron,2009.0
1205,42 ,2013.0,Harrison Ford,Christopher Meloni,Nicole Beharie,Brian Helgeland,2013.0
1206,The Talented Mr. Ripley ,1999.0,Philip Seymour Hoffman,Matt Damon,Jack Davenport,Anthony Minghella,1999.0
1207,Dumb and Dumber To ,2014.0,Bill Murray,Kathleen Turner,Rob Riggle,Bobby Farrelly,2014.0
1208,Eight Below ,2006.0,Paul Walker,Bruce Greenwood,Wendy Crewson,Frank Marshall,2006.0
1209,The Intern ,2015.0,Robert De Niro,Anne Hathaway,Rene Russo,Nancy Meyers,2015.0
1210,Ride Along 2 ,2016.0,Olivia Munn,Nadine Velazquez,Bruce McGill,Tim Story,2016.0
1211,The Last of the Mohicans ,1992.0,Wes Studi,Terry Kinney,Eric Schweig,Michael Mann,1992.0
1212,Ray ,2004.0,Bokeem Woodbine,Curtis Armstrong,Harry Lennix,Taylor Hackford,2004.0
1213,Sin City ,2005.0,Rosario Dawson,Powers Boothe,Jason Douglas,Frank Miller,2005.0
1214,Vantage Point ,2008.0,Dennis Quaid,Edgar Ramírez,William Hurt,Pete Travis,2008.0
1215,"I Love You, Man ",2009.0,J.K. Simmons,Jon Favreau,Jane Curtin,John Hamburg,2009.0
1216,Shallow Hal ,2001.0,Jason Alexander,Bruce McGill,Susan Ward,Bobby Farrelly,2001.0
1217,JFK ,1991.0,Sally Kirkland,Jay O. Sanders,Cheryl Penland,Oliver Stone,1991.0
1218,Big Momma's House 2 ,2006.0,Chloë Grace Moretz,Nia Long,Marisol Nichols,John Whitesell,2006.0
1219,The Mexican ,2001.0,J.K. Simmons,Brad Pitt,Julia Roberts,Gore Verbinski,2001.0
1221,17 Again ,2009.0,Matthew Perry,Hunter Parrish,Thomas Lennon,Burr Steers,2009.0
1222,The Other Woman ,2014.0,Don Johnson,Kate Upton,David Thornton,Nick Cassavetes,2014.0
1223,The Final Destination ,2009.0,Krista Allen,Andrew Fiscella,Shantel VanSanten,David R. Ellis,2009.0
1224,Bridge of Spies ,2015.0,Tom Hanks,Mark Rylance,Amy Ryan,Steven Spielberg,2015.0
1225,Behind Enemy Lines ,2001.0,Joaquim de Almeida,David Keith,Sam Jaeger,John Moore,2001.0
1226,Get Him to the Greek ,2010.0,Pink,Mario Lopez,Lino Facioli,Nicholas Stoller,2010.0
1227,Shall We Dance ,2004.0,Lisa Ann Walter,Nick Cannon,Omar Benson Miller,Peter Chelsom,2004.0
1228,Small Soldiers ,1998.0,Kirsten Dunst,Denis Leary,Robert Picardo,Joe Dante,1998.0
1229,Spawn ,1997.0,Michael Jai White,Frank Welker,Miko Hughes,Mark A.Z. Dippé,1997.0
1230,The Count of Monte Cristo ,2002.0,Henry Cavill,James Frain,Michael Wincott,Kevin Reynolds,2002.0
